EL-CENTRO_NS,
X,Y
0,-0.00409716125256073
0.02,-0.0316066725197542
0.04,-0.0295580918934738
0.06,-0.025753585016096
0.08,-0.0278021656423764
0.1,-0.0351185250219491
0.12,-0.0415569212759731
0.14,-0.0374597600234124
0.16,-0.03219198127012
0.18,-0.0248756218905473
0.2,-0.0248756218905473
0.22,-0.0383377231489611
0.24,-0.051507170032192
0.26,-0.0567749487854843
0.28,-0.0474100087796313
0.3,-0.0421422300263389
0.32,-0.0316066725197542
0.34,-0.0239976587649985
0.36,-0.0122914837576822
0.38,-0.019315188762072
0.4,-0.0383377231489611
0.42,-0.0556043312847527
0.44,-0.0573602575358502
0.46,-0.019315188762072
0.48,0.00877963125548727
0.5,0.0412642669007902
0.52,-0.0143400643839625
0.54,-0.0374597600234124
0.56,-0.0421422300263389
0.58,-0.0594088381621305
0.6,-0.0760901375475563
0.62,-0.0951126719344454
0.64,-0.0895522388059702
0.66,-0.0503365525314603
0.68,-0.0576529119110331
0.7,-0.0477026631548142
0.72,-0.0479953175299971
0.74,-0.0196078431372549
0.76,0.00731635937957273
0.78,0.0438981562774364
0.8,0.0690664325431665
0.82,0.0737489025460931
0.84,0.0983318700614574
0.86,0.135498975709687
0.88,0.143985952589991
0.9,0.122622183201639
0.92,0.105062920690664
0.94,0.0793093356745683
0.96,0.0687737781679836
0.98,0.0992098331870061
1,0.120573602575359
1.02,0.155106818846942
1.04,0.187006145741879
1.06,0.214223002633889
1.08,0.190810652619257
1.1,0.175299970734562
1.12,0.117061750073164
1.14,0.117061750073164
1.16,0.0184372256365233
1.18,-0.150717003219198
1.2,-0.230318993268949
1.22,-0.176470588235294
1.24,-0.141644717588528
1.26,-0.0731635937957272
1.28,-0.0172666081357916
1.3,0.0392156862745098
1.32,0.090137547556336
1.34,0.146034533216272
1.36,0.207784606379865
1.38,0.291191103306994
1.4,0.356745683347966
1.42,0.447468539654668
1.44,0.424056189640035
1.46,0.33801580333626
1.48,0.27363184079602
1.5,0.261047702663155
1.52,0.270997951419374
1.54,0.245537020778461
1.56,0.263681592039801
1.58,0.290605794556629
1.6,0.353819139596137
1.62,0.0959906350599941
1.64,-0.431665203394791
1.66,-0.60462393912789
1.68,-0.582089552238806
1.7,-0.595258999122037
1.72,-0.531460345332163
1.74,-0.504828797190518
1.76,-0.512730465320457
1.78,-0.51302311969564
1.8,-0.528241147205151
1.82,-0.477026631548142
1.84,-0.394205443371378
1.86,-0.318115305823822
1.88,-0.228855721393035
1.9,-0.125548726953468
1.92,-0.00497512437810945
1.94,0.105355575065847
1.96,0.229733684518584
1.98,0.340649692712906
2,0.467661691542289
2.02,0.573602575358502
2.04,0.705882352941177
2.06,0.798653789874159
2.08,0.888498683055312
2.1,0.936494000585309
2.12,1
2.14,0.825577992390986
2.16,0.680128767925081
2.18,-0.350599941469125
2.2,-0.694468832309043
2.22,-0.479953175299971
2.24,-0.545800409716125
2.26,-0.320456540825285
2.28,-0.22036874451273
2.3,-0.0506292069066433
2.32,0.0330699443956687
2.34,0.15598478197249
2.36,0.261925665788704
2.38,0.34708808896693
2.4,0.514193737196371
2.42,0.168568920105356
2.44,-0.769973661106234
2.46,-0.45273631840796
2.48,-0.50599941469125
2.5,-0.296166227685104
2.52,-0.169446883230904
2.54,0.0693590869183494
2.56,-0.196078431372549
2.58,-0.57945566286216
2.6,-0.480245829675154
2.62,-0.493122622183202
2.64,-0.433421129645888
2.66,-0.360257535850161
2.68,-0.292947029558092
2.7,-0.219783435762365
2.72,-0.153058238220661
2.74,-0.0793093356745683
2.76,-0.012876792508048
2.78,0.0550190225343869
2.8,-0.0278021656423764
2.82,-0.1267193444542
2.84,-0.245244366403278
2.86,-0.278314310798946
2.88,-0.209540532630963
2.9,-0.175299970734562
2.92,-0.0977465613110916
2.94,-0.0316066725197542
2.96,0.0541410594088382
2.98,0.122914837576822
3,0.196956394498098
3.02,-0.0283874743927422
3.04,-0.108867427568042
3.06,-0.0117061750073164
3.08,0.003219198127012
3.1,0.100673105062921
3.12,0.165349721978344
3.14,0.258413813286509
3.16,0.330699443956687
3.18,0.398887913374305
3.2,0.0640913081650571
3.22,0.0705297044190811
3.24,0.199882938249927
3.26,0.201638864501024
3.28,0.385718466491074
3.3,0.395961369622476
3.32,0.597014925373134
3.34,-0.272461223295288
3.36,-0.382791922739245
3.38,-0.202516827626573
3.4,-0.159789288849868
3.42,0.0210711150131695
3.44,0.197541703248464
3.46,-0.312262218320164
3.48,-0.435469710272169
3.5,-0.313432835820896
3.52,-0.34006438396254
3.54,-0.223002633889377
3.56,-0.163593795727246
3.58,-0.0629206906643254
3.6,-0.0368744512730465
3.62,-0.197249048873281
3.64,-0.0948200175592625
3.66,-0.0986245244366403
3.68,-0.0318993268949371
3.7,0.00497512437810945
3.72,0.0875036581796898
3.74,0.14281533508926
3.76,0.177933860111209
3.78,0.0649692712906058
3.8,-0.00936494000585309
3.82,-0.0717003219198127
3.84,0.022534386889084
3.86,0.0617500731635938
3.88,0.166227685103892
3.9,0.241732513901083
3.92,0.352941176470588
3.94,0.43254316652034
3.96,0.508340649692713
3.98,0.123207491952005
4,0.00848697688030436
4.02,0.0757974831723734
4.04,0.0857477319285923
4.06,-0.01609599063506
4.08,-0.0430201931518876
4.1,0.041849575651156
4.12,0.0602868012876793
4.14,0.146034533216272
4.16,0.188762071992976
4.18,0.280070237050044
4.2,0.330114135206321
4.22,0.423470880889669
4.24,0.476733977172959
4.26,0.569212759730758
4.28,0.543166520339479
4.3,0.580626280362891
4.32,0.517705589698566
4.34,0.365817968978636
4.36,-0.353233830845771
4.38,-0.158618671349137
4.4,-0.112379280070237
4.42,-0.0910155106818847
4.44,-0.327187591454492
4.46,-0.486098917178812
4.48,-0.721100380450688
4.5,-0.592625109745391
4.52,-0.537020778460638
4.54,-0.385425812115891
4.56,-0.280948200175593
4.58,-0.0951126719344454
4.6,0.045068773778168
4.62,0.238805970149254
4.64,0.386011120866257
4.66,0.532045654082529
4.68,-0.0169739537606087
4.7,-0.0494585894059116
4.72,0.0834064969271291
4.74,0.13081650570676
4.76,0.2876792508048
4.78,0.416739830260462
4.8,0.54228855721393
4.82,0.718759145449224
4.84,0.493122622183202
4.86,-0.403863037752414
4.88,-0.292361720807726
4.9,-0.318700614574188
4.92,-0.265437518290898
4.94,-0.137254901960784
4.96,-0.365817968978636
4.98,-0.617793386011121
5,-0.473222124670764
5.02,-0.495171202809482
5.04,-0.382206613988879
5.06,-0.325139010828212
5.08,-0.226221832016389
5.1,-0.149253731343284
5.12,-0.159203980099502
5.14,-0.351185250219491
5.16,-0.353819139596137
5.18,-0.338893766461809
5.2,-0.335089259584431
5.22,-0.209833187006146
5.24,-0.159789288849868
5.26,0.0187298800117062
5.28,-0.235294117647059
5.3,-0.478197249048873
5.32,-0.251390108282119
5.34,-0.281240854550776
5.36,-0.115891132572432
5.38,-0.0430201931518876
5.4,0.093356745683348
5.42,0.189640035118525
5.44,0.256365232660228
5.46,0.138132865086333
5.48,0.057945566286216
5.5,-0.00790166812993854
5.52,0.0854550775534094
5.54,0.130231196956395
5.56,0.229733684518584
5.58,0.302311969563945
5.6,0.395668715247293
5.62,0.470002926543752
5.64,0.544629792215394
5.66,0.374890254609306
5.68,0.187298800117062
5.7,0.0597014925373134
5.72,0.0918934738074334
5.74,0.109160081943225
5.76,0.145156570090723
5.78,0.0687737781679836
5.8,-0.0245829675153644
5.82,-0.0491659350307287
5.84,-0.0330699443956687
5.86,-0.0670178519168862
5.88,-0.0725782850453614
5.9,-0.0459467369037167
5.92,-0.0201931518876207
5.94,0.0430201931518876
5.96,0.110916008194323
5.98,0.169446883230904
6,0.0746268656716418
6.02,-0.0119988293824993
6.04,-0.125256072578285
6.06,-0.0389230318993269
6.08,0.0278021656423764
6.1,0.0673105062920691
6.12,-0.0377524143985953
6.14,-0.0146327187591455
6.16,0.0234123500146327
6.18,0.0614574187884109
6.2,0.111208662569505
6.22,0.149253731343284
6.24,0.0459467369037167
6.26,-0.00936494000585309
6.28,-0.0324846356453029
6.3,0.00146327187591455
6.32,0.0222417325139011
6.34,0.0102429031314018
6.36,-0.0278021656423764
6.38,-0.0105355575065847
6.4,-0.00468247000292654
6.42,0.0111208662569505
6.44,0.0248756218905473
6.46,-0.0163886450102429
6.48,-0.0889669300556043
6.5,-0.123207491952005
6.52,-0.0714076675446298
6.54,-0.0690664325431665
6.56,-0.0517998244073749
6.58,-0.0377524143985953
6.6,-0.00526777875329236
6.62,0.0594088381621305
6.64,-0.0316066725197542
6.66,-0.0266315481416447
6.68,-0.00995024875621891
6.7,-0.0310213637693884
6.72,-0.0324846356453029
6.74,-0.028972783143108
6.76,-0.000585308750365818
6.78,0.0213637693883524
6.8,0.0687737781679836
6.82,0.103892303189933
6.84,0.206321334503951
6.86,0.227977758267486
6.88,0.0538484050336553
6.9,-0.0769681006731051
6.92,-0.0362891425226807
6.94,-0.0122914837576822
6.96,0.0465320456540825
6.98,0.0140474100087796
7,-0.0640913081650571
7.02,-0.136669593210419
7.04,-0.125256072578285
7.06,-0.0632133450395083
7.08,-0.0125841381328651
7.1,0.0465320456540825
7.12,0.0936494000585309
7.14,0.122622183201639
7.16,0.0359964881474978
7.18,-0.0468247000292654
7.2,-0.0597014925373134
7.22,-0.0239976587649985
7.24,-0.0602868012876793
7.26,-0.0400936494000585
7.28,-0.01609599063506
7.3,0.0155106818846942
7.32,0.0392156862745098
7.34,0.0778460637986538
7.36,0.0678958150424349
7.38,0.0231196956394498
7.4,-0.00234123500146327
7.42,0.0585308750365818
7.44,0.127304653204565
7.46,0.143985952589991
7.48,0.0558969856599356
7.5,0.0269242025168276
7.52,-0.006438396254024
7.54,-0.00614574187884109
7.56,0.0152180275095113
7.58,0.0272168568920105
7.6,0.0746268656716418
7.62,0.107696810067311
7.64,0.153643546971027
7.66,0.158326016973954
7.68,0.124378109452736
7.7,0.116476441322798
7.72,0.163593795727246
7.74,0.221246707638279
7.76,0.106818846941762
7.78,0.120280948200176
7.8,0.0286801287679251
7.82,-0.0597014925373134
7.84,-0.0728709394205443
7.86,-0.118525021949078
7.88,-0.120866256950541
7.9,-0.13784021071115
7.92,-0.1267193444542
7.94,-0.134035703833772
7.96,-0.0166812993854258
7.98,0.0520924787825578
8,-0.0608721100380451
8.02,-0.143985952589991
8.04,-0.155106818846942
8.06,-0.105940883816213
8.08,-0.118525021949078
8.1,-0.090137547556336
8.12,-0.0924787825577992
8.14,-0.0775534094234709
8.16,-0.0775534094234709
8.18,-0.0787240269242025
8.2,-0.100965759438104
8.22,-0.0904302019315189
8.24,-0.0635059994146912
8.26,-0.0228270412642669
8.28,0.0254609306409131
8.3,0.0822358794263974
8.32,0.0907228563067018
8.34,0.104770266315481
8.36,0.099795141937372
8.38,0.104770266315481
8.4,0.0839918056774949
8.42,0.0892595844307872
8.44,0.0327772900204858
8.46,0.0626280362891425
8.48,0.0398009950248756
8.5,0.112379280070237
8.52,-0.251975417032485
8.54,-0.394790752121744
8.56,-0.392742171495464
8.58,-0.396254023997659
8.6,-0.34913666959321
8.62,-0.304945858940591
8.64,-0.242610477026632
8.66,-0.190517998244074
8.68,-0.129938542581212
8.7,-0.0755048287971905
8.72,-0.0175592625109745
8.74,-0.0266315481416447
8.76,-0.0532630962832894
8.78,-0.0430201931518876
8.8,0.0248756218905473
8.82,0.0477026631548142
8.84,0.0146327187591455
8.86,0.077260755048288
8.88,0.170324846356453
8.9,0.253731343283582
8.92,0.351185250219491
8.94,0.496049165935031
8.96,0.325139010828212
8.98,-0.3219198127012
9,-0.107111501316945
9.02,-0.130231196956395
9.04,-0.0690664325431665
9.06,-0.280948200175593
9.08,-0.191981270119988
9.1,-0.174714661984197
9.12,-0.196078431372549
9.14,-0.161545215100966
9.16,-0.00790166812993854
9.18,0.11062335381914
9.2,0.313725490196078
9.22,0.488440152180275
9.24,0.277143693298215
9.26,0.119402985074627
9.28,0.195200468247
9.3,0.038630377524144
9.32,-0.0278021656423764
9.34,-0.152180275095113
9.36,-0.242025168276266
9.38,-0.337137840210711
9.4,-0.336552531460345
9.42,-0.235001463271876
9.44,-0.107989464442493
9.46,0.00848697688030436
9.48,0.159496634474685
9.5,0.344746853965467
9.52,0.471173544044484
9.54,-0.0790166812993854
9.56,0.00995024875621891
9.58,-0.0163886450102429
9.6,0.00585308750365818
9.62,0.0427275387767047
9.64,0.157155399473222
9.66,0.233538191395961
9.68,-0.0599941469124963
9.7,-0.172666081357916
9.72,-0.0494585894059116
9.74,-0.0512145156570091
9.76,-0.00819432250512145
9.78,0.0216564237635353
9.8,0.111793971319871
9.82,0.165935030728709
9.84,0.22036874451273
9.86,0.23441615452151
9.88,0.173251390108282
9.9,0.0889669300556043
9.92,0.00673105062920691
9.94,0.0187298800117062
9.96,-0.118817676324261
9.98,-0.131987123207492
10,-0.0231196956394498
10.02,0.0491659350307287
10.04,0.165935030728709
10.06,0.0272168568920105
10.08,-0.01609599063506
10.1,0.012876792508048
10.12,-0.0359964881474978
10.14,-0.0825285338015803
10.16,-0.127889961954931
10.18,-0.103014340064384
10.2,-0.0746268656716418
10.22,-0.0324846356453029
10.24,0.0599941469124963
10.26,0.15188762071993
10.28,0.249926836406204
10.3,0.334796605209248
10.32,0.214515657009072
10.34,0.0693590869183494
10.36,-0.107696810067311
10.38,-0.0793093356745683
10.4,-0.0635059994146912
